team,venue,matches,wins
Pakistan,Eden Park,4,1
New Zealand,Eden Park,22,11
India,Melbourne Cricket Ground,9,4
Zimbabwe,Sydney Cricket Ground,1,0
Zimbabwe,Bellerive Oval,3,0
India,Bellerive Oval,3,3
Australia,Bellerive Oval,10,8
India,Brisbane Cricket Ground,2,2
Australia,Brisbane Cricket Ground,1,0
Zimbabwe,Brisbane Cricket Ground,1,0
India,Sydney Cricket Ground,11,3
South Africa,Newlands,19,16
West Indies,Newlands,2,0
India,W.A.C.A. Ground,1,0
Australia,W.A.C.A. Ground,2,1
South Africa,SuperSport Park,26,18
West Indies,SuperSport Park,3,1
Australia,Rangiri Dambulla International Stadium,4,3
South Africa,Carisbrook,1,0
New Zealand,Carisbrook,1,1
Australia,R.Premadasa Stadium,1,1
Sri Lanka,R.Premadasa Stadium,5,3
Bangladesh,Harare Sports Club,14,6
India,Rawalpindi Cricket Stadium,2,1
India,Arbab Niaz Stadium,2,0
Pakistan,Arbab Niaz Stadium,3,3
Pakistan,Gaddafi Stadium,14,6
India,Gaddafi Stadium,3,3
Zimbabwe,Queens Sports Club,31,7
Sri Lanka,Queens Sports Club,5,4
Sri Lanka,Harare Sports Club,14,12
England,Daren Sammy National Cricket Stadium,1,0
West Indies,Daren Sammy National Cricket Stadium,1,1
Bangladesh,Arnos Vale Ground,2,0
West Indies,Arnos Vale Ground,2,2
Bangladesh,National Cricket Stadium,1,0
West Indies,National Cricket Stadium,1,1
Australia,Harare Sports Club,8,5
England,Trent Bridge,18,10
West Indies,Trent Bridge,4,3
England,Riverside Ground,11,7
New Zealand,Riverside Ground,4,1
West Indies,Headingley,1,0
England,Headingley,14,10
England,Lord's,23,8
West Indies,Lord's,3,1
New Zealand,Lord's,4,3
Pakistan,Sinhalese Sports Club,1,1
Bangladesh,Sinhalese Sports Club,1,0
Pakistan,R.Premadasa Stadium,1,0
Bangladesh,R.Premadasa Stadium,1,0
India,R.Premadasa Stadium,2,1
Pakistan,VRA Cricket Ground,1,1
India,VRA Cricket Ground,1,0
South Africa,Rangiri Dambulla International Stadium,3,2
Sri Lanka,Sinhalese Sports Club,1,1
South Africa,Sinhalese Sports Club,1,0
India,Trent Bridge,3,2
England,Kennington Oval,25,15
India,Kennington Oval,8,4
Australia,Lord's,8,7
Pakistan,Lord's,6,4
India,Lord's,3,1
New Zealand,Kennington Oval,5,4
United States of America,Kennington Oval,1,0
England,Edgbaston,16,12
Zimbabwe,Edgbaston,1,0
India,The Rose Bowl,4,2
Kenya,The Rose Bowl,1,0
United States of America,The Rose Bowl,1,0
Australia,The Rose Bowl,5,4
Kenya,Edgbaston,1,0
Pakistan,Edgbaston,8,4
Zimbabwe,Kennington Oval,1,0
Sri Lanka,Kennington Oval,10,5
West Indies,The Rose Bowl,5,2
Bangladesh,The Rose Bowl,1,0
Australia,Kennington Oval,9,5
England,The Rose Bowl,21,13
Sri Lanka,The Rose Bowl,1,0
South Africa,Kennington Oval,8,1
West Indies,Kennington Oval,6,3
India,Edgbaston,9,6
Australia,Edgbaston,4,0
Pakistan,The Rose Bowl,5,1
Zimbabwe,Multan Cricket Stadium,2,0
Zimbabwe,Arbab Niaz Stadium,1,0
Sri Lanka,National Stadium,9,4
Pakistan,National Stadium,15,11
Zimbabwe,Rawalpindi Cricket Stadium,3,0
Sri Lanka,Rawalpindi Cricket Stadium,4,1
Sri Lanka,Gaddafi Stadium,4,4
New Zealand,MA Aziz Stadium,1,1
Bangladesh,MA Aziz Stadium,3,0
England,Harare Sports Club,2,2
Australia,Docklands Stadium,5,4
